SH. No.,Name of the Road,Starting KM.,Ending KM,Total Length KM.
SH-163,Palladam - Cochin Frontier road (SH 163),12.800,54.400,41.600
SH-164,Coimbatore-Anaikatti Road  (SH164),0.000,29.000,29.000
SH-165,Kamanaickenpalayam-Annur Road  ( SH165),0.000,38.620,38.620
SH-166, Palladam-Avinashi-Puliyampatty road km 40/4-44/3 (SH No166),0.000,44.300,44.300
SH-167,North Coimbatore-Maruthamalai Road   (SH167)           ,0.000,11.180,11.180
SH-168,Karamadai-Kariyampalayam Road  ( SH168),0.000,15.200,15.200
SH-169,Tirupur-Somanur Road (SH-169),0.000,19.000,19.000
SH-170,Neelipalayam - Sirumugai road (SH170),0.000,17.800,17.800
SH-171,Kovilvazhi - Karapalayam Road (SH-171),0.000,17.400,17.400
SH-172,Tirupur-Kangayam Road (SH-172),0.000,26.400,26.400
SH-173,Erode - Thingalur road (SH 173),0.000,26.000,26.000
SH-174A,Palladam - Dharapuram Road (SH-174A),0.000,29.400,29.400
SH-175,Bhavani - Anthiyur - Chellampalayam road (SH.175),0.000,18.000,18.000
SH-176,Thoothukudi - Tiruchendur - Kanyakumari Road (SH 176),0.000,119.710,119.710
SH-177,Cheranmahadevi - Panagudy Road  (SH 177),0.000,43.400,43.400
